"net_tfa","age","inc","fsize","educ","db","marr","twoearn","e401","p401","pira","hown"
-1000,38,30540,4,11,0,1,1,0,0,0,1
17285,44,54252,4,14,1,1,1,1,1,1,1
7804,47,44244,5,12,0,1,1,1,1,1,0
-1500,30,11256,1,13,0,0,0,0,0,0,0
-250,55,7134,5,10,0,1,1,0,0,0,1
-1600,48,55743,4,12,0,1,1,1,1,0,1
64,29,37245,4,13,0,1,1,0,0,0,1
32699,51,43404,3,13,0,1,1,1,1,0,0
-3200,44,35652,2,18,1,0,0,1,0,0,1
167000,45,101496,1,16,1,0,0,1,1,1,0
100,46,14040,3,12,0,1,0,0,0,0,0
-2200,37,28443,4,12,0,1,0,1,0,0,1
74800,40,84687,2,18,1,1,1,1,1,1,1
600,60,16980,4,12,0,1,1,0,0,0,0
24999,58,22620,2,12,0,0,0,0,0,1,1
12000,38,44874,1,12,0,0,0,0,0,0,0
-566,32,42255,5,14,0,1,1,1,1,0,1
59300,58,23706,2,12,0,1,0,0,0,1,1
-5250,38,44472,5,12,1,1,1,1,1,0,1
59000,50,22824,1,12,1,0,0,0,0,1,1
47958,55,108420,3,18,0,1,1,1,1,1,1
-4500,28,45360,1,18,0,0,0,0,0,0,0
-100,36,28032,1,12,1,0,0,1,0,0,0
14248,43,80490,4,14,0,1,1,1,1,1,1
-2384,30,43728,4,13,1,1,1,1,1,0,1
-3000,46,11592,3,12,0,0,0,0,0,0,1
-4810,27,25605,1,1,0,0,0,1,1,1,0
-11351,35,16077,4,12,0,1,0,0,0,0,1
-700,38,80025,4,16,1,1,1,0,0,0,1
2295,54,20226,3,12,0,1,1,0,0,0,1
41899,44,22668,6,12,0,1,1,1,1,0,1
34300,36,36876,4,16,0,1,0,1,0,1,1
3400,44,24480,3,12,0,1,1,1,1,0,0
0,29,7650,1,12,0,0,0,0,0,0,0
54869,49,18729,5,12,0,1,0,0,0,0,1
2000,38,20478,3,12,0,0,0,0,0,0,0
3599,27,45300,2,12,0,1,1,0,0,0,1
-2000,28,28911,1,11,0,0,0,0,0,0,0
21349,54,53184,2,12,1,1,1,1,1,0,1
-928,47,5652,1,8,1,0,0,0,0,0,0
139560,43,135114,2,14,1,1,1,1,1,1,1
0,47,2700,1,9,0,0,0,0,0,0,1
65897,56,39546,1,12,0,0,0,0,0,1,1
102981,40,36177,2,12,0,1,1,0,0,1,1
900,44,15198,3,6,0,0,0,0,0,0,1
7000,33,76050,4,15,1,1,1,0,0,0,1
-4401,40,43536,3,17,1,0,0,1,0,0,0
79966,47,20910,4,12,0,1,1,0,0,1,1
12000,55,34542,4,12,0,1,1,0,0,0,1
-11400,28,21891,5,13,1,1,1,0,0,0,1
-3820,33,25782,2,14,1,1,1,0,0,0,1
-2150,30,34413,2,12,1,1,1,1,0,0,0
18299,38,88200,3,14,0,1,0,0,0,1,1
23998,43,46872,4,13,0,1,1,1,0,0,1
63249,50,26190,2,12,0,1,0,1,0,1,1
-4200,27,13200,2,12,0,0,0,0,0,0,0
49999,31,37515,1,18,1,0,0,1,1,1,1
32097,59,46926,2,12,1,1,1,0,0,1,1
3500,37,41514,4,12,0,1,1,0,0,0,1
182,32,10929,1,12,0,0,0,0,0,0,0
98900,57,81690,4,18,0,1,1,1,1,1,1
29715,35,74178,4,14,0,1,0,0,0,0,1
0,41,12000,5,9,0,1,0,0,0,0,1
-1501,57,27927,4,7,0,1,1,0,0,0,1
10950,27,74370,3,12,1,1,1,1,1,0,0
-10500,31,129621,2,18,0,1,1,1,1,0,1
9000,48,61830,3,12,0,1,0,0,0,0,1
0,31,13770,1,12,0,0,0,0,0,0,1
1000,44,65400,4,16,1,1,1,0,0,0,0
2100,55,116199,2,14,1,1,1,1,1,1,1
0,45,2400,3,12,0,1,0,0,0,0,0
35699,55,21390,2,18,0,0,0,0,0,1,1
4200,41,36975,6,13,0,1,0,1,1,0,1
93783,39,59952,4,16,0,1,0,1,1,1,1
-5850,40,36015,1,18,1,0,0,0,0,0,0
13400,46,40830,4,14,0,1,1,1,1,1,1
58899,32,100491,2,16,1,1,1,1,1,1,1
-2500,27,6606,1,12,0,0,0,0,0,0,0
1744,64,30108,2,12,1,1,1,0,0,0,1
0,28,10506,5,4,0,1,0,0,0,0,0
-5750,42,37914,5,12,0,1,1,1,1,0,1
-500,33,25500,5,12,0,1,0,0,0,0,1
50192,63,65457,1,18,1,0,0,0,0,1,1
-1050,28,46332,4,9,0,1,1,0,0,0,0
3599,36,30720,3,15,0,1,0,0,0,1,1
30,29,12756,1,12,0,0,0,0,0,0,0
-4201,28,37170,2,18,0,1,1,1,0,0,1
121853,58,70971,1,18,1,0,0,1,1,1,1
-6460,40,34425,4,12,0,1,1,1,1,0,1
-750,27,24603,2,12,0,1,1,1,0,0,0
83200,44,72165,3,17,0,1,0,1,1,1,1
28300,41,52182,4,16,0,1,0,0,0,1,1
-19706,48,32349,4,11,0,1,1,0,0,0,0
-409000,40,115584,2,14,0,1,1,0,0,0,1
0,35,28647,3,14,0,0,0,0,0,0,0
4700,31,45408,3,12,1,1,1,0,0,0,1
800,52,26118,3,11,0,1,1,0,0,0,1
5528,28,31203,2,16,1,0,0,1,1,0,1
615,25,23250,1,12,0,0,0,0,0,0,0
0,33,31749,6,12,0,1,0,0,0,0,1
-11650,43,56589,4,12,0,1,1,0,0,1,1
154,25,28728,4,9,0,1,1,0,0,0,0
-2342,25,30957,2,14,0,1,1,0,0,0,0
-2700,28,510,1,16,0,0,0,0,0,0,0
33800,29,96180,5,16,1,1,1,1,1,1,1
-6545,26,45651,3,12,1,1,1,1,0,0,0
13100,39,64359,4,16,0,1,1,1,1,0,1
540,27,24840,4,12,0,1,0,0,0,0,1
40200,35,39480,3,12,0,1,1,0,0,1,1
0,25,15810,1,12,0,0,0,0,0,0,0
11000,27,21030,1,16,0,0,0,0,0,1,0
69699,54,53895,2,12,0,1,0,1,1,1,1
7765,37,58143,2,14,0,1,1,0,0,1,1
-278,28,12684,3,12,1,0,0,1,1,0,0
0,41,1035,1,16,1,0,0,0,0,0,0
4325,25,36042,2,16,1,1,1,0,0,0,0
-5820,30,33585,1,16,0,0,0,1,1,1,0
0,28,11376,1,13,0,0,0,0,0,0,0
0,33,6375,1,12,0,0,0,0,0,0,1
5500,38,24150,5,14,1,0,0,1,0,0,1
8000,28,24051,4,12,0,1,0,0,0,0,0
188700,55,87735,2,1,1,1,1,1,1,1,1
26700,38,71346,3,12,0,1,1,1,0,0,1
1950,52,47700,2,12,1,1,1,0,0,0,1
1e+05,59,100941,2,12,0,1,1,0,0,1,1
2850,43,23910,4,13,1,0,0,1,1,0,0
-4300,36,10944,4,13,0,1,1,0,0,0,0
55800,30,78174,3,18,1,1,1,1,1,1,1
21299,49,56646,2,12,1,1,1,0,0,0,1
4000,46,16860,4,12,1,1,0,1,1,0,0
-3450,61,11790,3,12,0,1,1,0,0,0,1
-2000,27,8640,1,12,0,0,0,0,0,0,0
-4750,33,38073,3,12,1,1,1,0,0,0,1
-5400,42,16521,1,13,0,0,0,0,0,0,1
0,42,8937,8,11,0,0,0,0,0,0,1
17600,44,78762,4,18,1,1,1,1,0,1,1
50,38,53658,3,14,0,1,1,0,0,0,0
66500,47,64800,1,16,1,0,0,1,1,1,0
171700,35,73800,4,16,0,1,0,1,1,0,1
72907,30,58080,4,18,0,1,1,0,0,0,1
12200,32,17580,2,12,0,1,0,0,0,1,0
-3000,42,13203,1,13,0,0,0,0,0,0,1
1400,59,18936,3,8,1,1,0,0,0,0,1
-1100,37,14850,1,16,0,0,0,0,0,0,0
0,27,8400,3,12,0,0,0,0,0,0,0
250,56,16440,1,12,0,0,0,1,0,0,0
5160,49,23976,2,12,0,0,0,1,1,0,1
8476,29,46323,4,12,0,1,1,1,1,0,1
6505,41,30321,6,12,1,1,1,1,1,0,1
30592,63,35547,3,15,0,1,1,0,0,1,1
-4800,35,47922,4,12,1,1,0,0,0,0,1
-12007,27,23850,3,14,0,1,1,0,0,0,0
16999,26,33651,1,14,0,0,0,0,0,0,0
799,37,13185,2,12,0,0,0,0,0,0,0
990,45,14427,3,14,1,1,0,0,0,1,1
-5967,35,26202,5,12,0,1,1,1,1,0,1
7456,30,66123,4,16,1,1,1,1,1,0,1
-2000,29,12000,2,13,0,0,0,0,0,0,0
0,35,14805,1,13,1,0,0,1,0,0,1
21900,40,54591,1,16,1,0,0,1,1,0,1
3400,28,17070,4,10,0,1,1,0,0,0,1
25293,49,34047,3,12,0,1,1,1,1,0,1
-7000,42,32220,1,9,0,0,0,0,0,0,0
800,54,24654,2,13,1,0,0,0,0,0,1
750,28,24690,1,18,0,0,0,0,0,0,1
900,43,27204,1,12,1,0,0,1,0,0,0
5583,43,29280,4,12,0,1,0,0,0,0,0
-20,30,10272,1,12,0,0,0,0,0,0,0
43150,58,42888,3,12,1,0,0,1,1,0,1
4500,33,30075,3,6,0,1,1,0,0,0,1
10747,43,33288,2,12,0,1,1,0,0,0,1
229,35,24033,2,13,0,0,0,0,0,0,0
4000,27,30300,4,12,0,1,0,0,0,1,0
9600,59,23445,2,12,0,1,0,0,0,1,1
-650,40,19209,2,15,0,0,0,0,0,0,1
1150,37,12852,2,12,0,0,0,0,0,0,1
7470,43,62856,4,18,0,1,1,1,1,0,1
-6594,32,36012,1,18,0,0,0,1,1,0,0
-5192,36,15186,4,9,0,1,0,0,0,1,1
51011,55,74688,4,13,0,1,1,1,1,1,1
1200,27,30162,5,8,0,1,0,0,0,0,0
12000,30,22074,1,12,0,0,0,0,0,0,1
3500,37,16665,1,14,1,0,0,1,1,0,0
12000,35,13704,6,12,0,1,0,0,0,1,1
-1751,43,22473,1,14,0,0,0,0,0,0,0
10399,40,29622,2,12,1,0,0,0,0,1,1
4999,56,36420,1,18,1,0,0,0,0,0,1
-1200,33,17214,1,12,0,0,0,0,0,0,0
43502,39,67836,6,18,0,1,1,1,1,1,1
0,28,12750,3,12,0,0,0,0,0,0,0
1821,44,43536,4,12,1,1,1,1,1,0,1
-4325,38,31956,3,12,0,0,0,0,0,0,0
1000,44,11880,5,10,0,0,0,1,1,0,0
31848,38,57480,4,16,0,1,1,1,1,1,1
91500,38,39291,2,13,0,1,0,1,1,0,1
22705,37,15246,3,12,0,1,0,0,0,0,1
4500,59,22119,1,14,0,0,0,0,0,1,1
3660,63,28272,4,8,0,1,0,0,0,0,1
15348,42,53391,1,16,1,0,0,1,0,1,1
0,25,18150,5,9,0,1,0,0,0,0,0
100,54,23358,4,13,0,0,0,0,0,0,1
10000,61,34920,2,12,0,1,0,0,0,0,0
-400,26,13818,1,14,1,0,0,0,0,0,0
115000,59,69435,2,13,1,1,1,1,1,1,1
5673,45,54738,4,13,0,1,1,0,0,0,1
0,30,10200,4,14,0,1,0,0,0,0,1
-1800,47,6435,7,6,0,1,1,0,0,0,1
0,56,30960,3,12,0,1,0,0,0,0,1
-101,29,29424,2,18,1,1,1,0,0,0,0
-9358,52,32073,5,12,0,1,0,1,0,0,1
6450,31,41922,5,12,0,1,1,1,1,0,1
-19840,31,25002,4,12,0,1,1,0,0,0,0
1499,34,41490,1,13,1,0,0,0,0,0,0
6302,26,37641,1,17,0,0,0,1,1,0,1
-700,32,24000,3,15,0,1,0,0,0,0,1
-1300,26,16068,2,13,1,0,0,1,0,0,0
4100,38,70692,3,14,1,1,1,1,0,0,0
18550,46,25800,2,14,0,1,1,0,0,1,1
525,46,22170,2,18,0,0,0,0,0,0,1
20,36,8976,1,12,0,0,0,0,0,0,0
-400,36,6411,2,13,0,0,0,0,0,0,0
-21901,30,100302,1,18,0,0,0,1,1,0,1
-2950,41,35772,4,15,0,1,1,1,1,0,1
10280,26,49362,2,16,1,1,0,1,1,1,1
51,43,39120,4,12,1,0,0,0,0,0,1
-3650,37,20424,4,11,0,1,0,0,0,0,1
18800,50,72090,2,12,0,1,1,1,1,0,1
17396,61,33090,2,12,0,1,0,0,0,1,1
0,33,45951,4,12,0,1,1,0,0,0,0
23833,34,53700,4,14,1,1,1,1,1,0,1
25800,46,41781,4,12,0,1,1,1,1,1,1
-13201,27,54708,2,18,1,1,1,1,1,0,0
-3800,27,22950,2,12,0,1,0,0,0,0,0
29498,39,54315,5,16,0,1,1,0,0,1,1
4,47,17172,7,12,0,1,1,0,0,0,1
1500,44,25527,1,14,0,0,0,0,0,0,1
10999,39,27615,4,12,0,1,1,1,1,0,1
61887,58,25977,2,18,0,1,0,1,1,1,1
16700,31,28047,1,12,1,0,0,1,0,0,0
80600,36,39168,4,12,0,1,1,1,1,0,1
10799,50,100002,1,12,1,0,0,1,1,0,1
13000,56,23880,1,12,0,0,0,1,0,0,1
96150,57,22317,2,11,0,1,0,0,0,1,0
4600,42,21300,5,14,0,1,0,0,0,0,1
24082,45,34095,2,18,0,0,0,1,1,1,1
0,31,26862,3,12,0,0,0,0,0,0,0
50,44,28830,3,12,1,1,1,0,0,0,1
-1395,47,48375,4,12,1,1,1,1,0,0,1
1600,27,74970,5,12,0,1,0,0,0,0,1
-6347,36,17385,3,11,0,0,0,1,1,0,1
-5700,35,31620,3,14,0,1,1,0,0,0,0
2300,50,7854,5,10,1,0,0,1,1,0,0
1000,41,70905,6,14,1,1,1,0,0,0,1
59115,46,80079,3,16,0,1,1,0,0,1,1
79328,48,88596,1,16,1,0,0,1,1,1,1
-500,36,38253,5,14,0,1,1,1,1,0,0
5968,42,55791,4,15,0,1,1,0,0,0,1
97000,59,49701,1,12,0,0,0,0,0,1,0
500,28,24258,3,13,0,1,1,0,0,0,1
-2055,26,17619,1,14,1,0,0,1,1,0,0
7300,25,12114,1,16,0,0,0,0,0,1,0
21900,63,51528,2,12,0,1,1,0,0,0,1
1000,29,19254,3,14,0,0,0,0,0,0,1
300,62,26808,2,17,0,1,0,0,0,0,1
-2981,29,28050,4,10,1,1,1,1,1,0,0
-1600,54,13362,1,10,1,1,0,1,0,0,1
2000,34,31722,3,12,0,1,1,1,1,0,1
1299,55,4359,1,12,0,0,0,0,0,0,0
21417,55,54360,2,16,0,1,1,0,0,1,1
75422,52,70047,3,18,0,1,1,1,1,1,1
1925,41,36435,6,12,0,1,0,0,0,0,1
-16826,34,15120,5,10,0,1,0,0,0,0,1
-3250,29,30750,2,15,0,1,1,0,0,0,1
-4165,28,26931,2,12,0,1,1,0,0,0,1
47384,48,30543,1,16,0,0,0,0,0,0,0
16000,39,39732,5,12,0,1,1,1,0,1,1
2300,33,34308,4,12,0,1,1,1,1,0,0
12192,27,31830,3,15,0,1,1,0,0,1,1
-500,36,40212,4,16,1,1,1,1,1,0,1
74800,41,90261,4,12,0,1,0,1,1,1,1
2700,44,32460,2,14,1,1,0,0,0,0,1
6442,31,23481,2,14,1,0,0,1,0,0,0
-550,58,9180,2,11,0,0,0,0,0,0,0
2499,45,39207,3,15,1,0,0,0,0,0,1
1733,54,51654,3,13,1,1,1,0,0,0,1
-3800,30,62700,4,18,1,1,1,1,0,0,1
16250,25,35505,3,12,0,1,1,1,1,1,1
749,40,22254,1,17,0,0,0,0,0,0,0
0,38,22806,1,5,0,0,0,1,0,0,0
0,42,13440,4,13,0,0,0,0,0,0,1
-4900,39,30780,4,12,0,0,0,0,0,0,1
4600,31,33036,1,16,0,0,0,0,0,1,1
0,33,19347,3,13,0,1,1,0,0,0,0
1700,25,13266,2,14,0,1,0,0,0,0,0
75000,55,60705,2,16,1,1,0,0,0,0,1
50899,61,18669,2,8,0,1,0,1,1,0,1
131350,43,73710,2,18,0,1,0,0,0,1,1
-4496,42,44016,4,12,0,1,1,1,1,1,0
-14350,30,27555,1,18,1,0,0,0,0,0,0
1400,25,14850,1,12,0,0,0,0,0,0,0
-450,48,35970,4,14,0,1,0,0,0,1,1
0,64,11475,1,8,1,0,0,0,0,0,1
2900,43,44418,1,18,0,0,0,0,0,1,1
95474,52,66360,3,15,0,1,0,1,1,1,1
24500,44,52065,5,12,0,1,1,0,0,0,1
-5875,31,18216,3,13,1,0,0,1,1,0,0
0,25,19248,1,12,0,0,0,0,0,0,0
59748,41,15120,6,12,0,1,0,0,0,0,1
-3800,44,34965,3,17,0,0,0,0,0,0,1
-3500,42,38817,2,12,0,1,1,0,0,0,1
10853,45,28602,2,13,1,0,0,1,0,0,0
-1935,56,22140,7,14,1,0,0,0,0,0,0
2500,51,10800,1,9,0,0,0,1,1,0,1
7650,27,28458,1,16,0,0,0,1,1,0,0
6513,34,26865,3,13,0,0,0,1,1,0,0
0,32,22440,3,12,0,1,1,0,0,0,1
73300,47,55107,4,16,1,1,1,1,1,1,1
1163,32,55680,5,12,0,1,1,0,0,0,1
-5900,36,77469,2,12,1,1,1,1,0,0,1
32550,26,73902,2,16,1,1,1,1,1,0,1
91900,28,62430,3,16,1,1,1,1,1,1,1
3695,54,50859,2,12,1,1,1,1,0,0,1
-1690,44,54492,2,15,0,1,1,0,0,0,1
0,56,4080,7,3,0,1,0,0,0,0,1
0,34,8199,1,11,0,0,0,0,0,0,0
-17818,33,38484,3,15,0,1,1,1,1,0,1
4500,37,44316,2,13,0,1,0,0,0,0,1
3399,31,37509,1,16,0,0,0,0,0,0,0
399946,39,160701,6,12,0,1,0,1,1,1,1
3950,29,77133,2,14,0,1,1,1,1,0,1
1130,26,26409,1,13,0,0,0,0,0,0,0
35300,43,105156,3,16,1,1,1,1,1,1,1
45999,34,51162,3,17,1,0,0,0,0,1,1
0,46,12750,4,6,0,1,0,0,0,0,0
7200,28,36075,2,14,0,1,1,0,0,1,0
105798,36,104190,4,16,1,1,0,1,1,0,1
29600,62,23532,3,12,0,1,0,0,0,1,0
-7500,46,35310,4,13,1,0,0,1,0,1,1
31900,30,60369,1,16,1,0,0,1,1,1,1
-400,49,10713,2,11,0,0,0,0,0,0,0
-7000,46,40335,7,12,1,1,1,1,0,1,1
50,40,12120,4,12,1,0,0,0,0,0,1
142100,37,191715,3,18,0,1,1,1,1,1,1
-7850,48,27000,2,13,0,1,0,1,0,0,0
999,27,12660,3,14,0,0,0,0,0,0,0
215600,53,111282,4,18,0,1,1,1,1,1,1
83700,30,41535,1,14,1,0,0,1,0,1,1
465,37,15003,1,14,0,0,0,0,0,0,0
2080,28,64137,4,12,1,1,1,1,1,0,1
32290,48,98034,4,18,0,1,1,1,1,1,1
157973,62,41106,2,12,0,1,0,1,1,1,1
-600,42,12240,3,12,0,1,0,0,0,0,0
31169,36,82575,6,16,0,1,0,0,0,0,1
98858,52,73920,1,16,1,0,0,1,1,0,1
7000,25,41856,3,12,0,1,1,0,0,0,0
15075,53,46683,3,12,0,1,0,1,1,1,1
-23162,32,31644,4,12,1,1,1,1,0,0,1
73351,41,51591,4,14,0,1,0,0,0,1,1
-1550,39,16392,4,12,0,1,1,1,0,0,1
1317947,40,113199,4,17,0,1,1,0,0,1,1
300,28,28806,3,15,0,1,1,0,0,0,0
13,39,17424,6,9,1,1,1,0,0,0,1
0,62,33228,2,12,0,1,1,0,0,0,0
3249,45,50235,2,16,0,0,0,1,1,0,0
30626,38,36243,6,16,0,1,0,1,1,1,1
-425,37,48000,3,17,0,0,0,0,0,0,0
-3800,28,39609,3,14,0,1,1,0,0,0,1
18310,34,15756,3,12,0,1,1,1,1,0,1
137800,62,23535,1,16,0,0,0,0,0,1,0
11137,62,17403,1,12,0,0,0,0,0,0,1
0,37,32679,4,13,0,1,1,0,0,0,1
26800,39,47025,5,12,1,1,1,1,0,1,1
-3651,40,27915,1,16,0,0,0,1,0,0,0
3600,58,33816,3,8,0,1,1,1,1,0,1
50500,47,78000,5,16,1,1,1,1,1,0,1
-850,31,35856,5,12,0,1,0,0,0,0,0
21625,27,46890,3,14,0,1,1,0,0,0,0
599,41,8760,3,12,0,0,0,0,0,0,1
2425,31,21939,1,18,0,0,0,0,0,0,0
68,53,10200,4,6,0,1,0,1,1,0,0
-1240,40,61398,4,14,0,1,0,0,0,0,1
-64,47,20568,2,14,0,1,0,1,0,0,1
50,56,1596,2,12,0,0,0,0,0,0,0
-6500,44,19560,1,17,0,0,0,0,0,0,0
7900,27,37218,1,16,0,0,0,1,1,1,0
-1440,37,22482,1,14,0,0,0,0,0,0,0
2600,37,28236,1,12,1,0,0,0,0,0,0
-4300,28,45090,2,12,0,1,1,0,0,0,1
4100,49,13200,4,10,0,1,0,0,0,1,1
2100,47,36210,3,12,0,1,1,0,0,0,1
250863,63,98712,3,16,1,1,1,1,0,0,1
63249,46,100011,1,18,0,0,0,1,1,1,1
0,36,3246,3,4,0,0,0,0,0,0,1
-2500,56,40710,1,12,0,0,0,0,0,1,1
2607,26,16557,2,12,0,0,0,0,0,0,0
1900,30,43293,2,12,1,1,1,0,0,0,0
-13486,53,27336,6,6,0,1,1,0,0,0,1
300,46,12018,1,11,0,0,0,0,0,0,0
-1483,36,10920,4,12,0,0,0,0,0,0,0
-3200,41,93612,5,18,0,1,1,0,0,0,1
11999,53,53292,4,12,0,1,1,1,1,0,1
3328,30,44613,4,16,1,1,1,0,0,0,1
-2451,55,9738,1,12,0,0,0,0,0,0,0
129011,44,56802,4,16,0,1,1,1,1,1,1
24448,31,58323,4,18,1,1,1,1,1,0,1
51500,45,145854,4,12,1,1,1,1,1,0,1
-4001,38,13278,4,12,0,0,0,0,0,0,1
34000,54,17400,1,16,1,0,0,0,0,1,1
-12276,39,22956,4,12,0,1,1,0,0,0,1
6230,41,42927,4,14,0,1,1,1,1,1,1
-4500,33,21060,1,12,1,0,0,0,0,1,1
3098,62,74589,3,16,1,1,0,0,0,0,1
87775,38,45948,1,17,1,0,0,1,1,1,1
1930,25,16032,2,14,0,0,0,0,0,0,0
7,51,33474,2,12,1,1,1,0,0,0,1
20800,50,36210,2,13,0,1,1,1,1,0,1
0,58,14247,4,14,0,1,0,0,0,0,0
35499,27,77781,2,18,1,1,1,0,0,1,1
728,39,28614,3,16,0,1,1,1,1,0,1
39189,38,45336,1,17,0,0,0,0,0,1,0
3788,43,23667,1,12,0,0,0,0,0,1,0
60459,37,41031,2,18,0,1,0,1,1,1,1
-8500,31,30315,4,13,0,1,0,0,0,0,1
104856,59,99318,6,15,1,1,1,1,1,1,1
-9500,34,51960,2,13,0,1,0,1,0,0,1
1000,36,45168,1,14,1,0,0,1,0,0,0
4750,42,71376,4,12,0,1,1,1,1,0,1
9400,30,59748,1,16,1,0,0,1,1,0,0
35400,39,36930,3,14,0,0,0,1,1,0,0
2500,32,28629,1,15,0,0,0,0,0,0,0
0,61,11844,3,15,0,1,0,0,0,0,0
47000,37,41784,4,18,0,1,0,1,1,0,1
288,29,14274,1,10,0,0,0,0,0,0,0
-3000,43,8880,4,14,0,0,0,0,0,0,0
18400,30,57381,2,16,0,1,1,1,1,0,0
5300,27,23550,3,12,0,1,0,0,0,0,0
45600,45,63288,5,16,1,1,1,1,1,0,1
41710,47,22092,3,14,0,0,0,0,0,0,1
-3570,49,3840,2,14,0,1,0,0,0,0,1
301,37,31500,6,15,0,1,1,1,0,0,0
84228,56,29556,2,12,0,1,0,1,1,1,1
59,34,9081,2,12,0,0,0,0,0,0,0
92446,53,62400,3,12,0,1,0,1,1,1,1
70682,42,89520,5,13,0,1,1,1,1,0,1
-843,32,12207,1,12,0,0,0,0,0,0,0
259,62,20622,1,16,0,0,0,0,0,0,1
46987,64,60060,2,12,0,1,0,1,1,0,1
3000,38,18540,5,12,0,1,0,0,0,0,0
-578,36,34392,4,13,1,1,1,1,1,0,0
0,54,10800,1,12,0,0,0,0,0,0,0
74800,51,66573,4,16,0,1,1,0,0,1,1
57852,38,80085,3,16,1,1,1,0,0,1,1
33600,37,32394,3,12,0,0,0,0,0,0,0
120097,55,40641,2,12,0,1,1,1,1,1,1
-900,51,22500,4,10,0,1,0,0,0,0,1
-2000,32,47391,3,13,0,1,1,0,0,0,1
0,29,6375,2,16,0,1,0,0,0,0,0
2258,32,13866,2,12,0,0,0,0,0,0,0
40548,60,29100,2,11,0,1,1,0,0,0,1
-3175,43,56133,4,14,0,1,1,0,0,0,1
0,60,6312,1,1,0,0,0,0,0,0,0
45598,36,39597,4,13,0,1,1,1,1,0,1
2500,30,18639,2,12,0,0,0,0,0,0,0
16000,46,51960,12,12,0,1,0,0,0,0,1
0,45,11766,5,7,0,1,0,0,0,0,1
11934,45,32490,5,12,0,1,1,0,0,0,1
0,55,45384,13,10,0,1,0,0,0,0,0
-9893,41,39162,1,16,1,0,0,1,0,0,0
24,50,7923,1,9,0,0,0,0,0,0,1
19947,58,38949,2,12,0,1,0,0,0,1,1
9000,53,19200,2,15,0,0,0,0,0,1,0
-200,28,23316,1,18,1,0,0,1,0,0,1
-3400,39,30324,3,16,1,0,0,1,0,0,0
-2350,39,12522,5,12,0,1,1,0,0,0,0
6900,45,76872,4,18,1,1,1,0,0,0,1
-1675,32,58167,5,12,0,1,1,0,0,0,1
350,32,14925,1,14,0,0,0,0,0,0,0
33637,37,37476,4,16,0,1,0,1,0,1,0
94050,48,17547,2,10,1,0,0,1,1,1,1
80000,52,92904,1,18,0,1,0,0,0,1,1
25290,34,66000,1,15,0,0,0,0,0,0,1
45010,38,60228,5,12,0,1,1,1,1,0,1
889,56,32007,2,17,1,1,0,0,0,0,1
13400,36,26136,5,12,0,1,0,1,1,0,1
-1845,30,22413,4,12,1,1,1,1,0,0,1
215750,41,66018,3,16,0,0,0,0,0,0,1
-17531,52,30078,2,4,0,1,1,1,1,0,1
72057,47,74670,3,12,0,1,1,0,0,1,1
19046,41,10998,1,13,0,0,0,0,0,1,1
1208,46,34131,7,15,0,1,1,0,0,0,1
257,46,11901,7,6,0,1,1,0,0,0,1
400,25,20400,4,12,1,0,0,1,0,0,0
3975,61,57060,2,12,1,1,1,0,0,0,1
-351,36,48351,4,12,0,1,1,0,0,0,0
18325,29,15870,1,16,1,0,0,1,1,0,0
87750,53,73350,2,12,1,1,1,1,1,1,1
28900,54,67431,4,13,0,1,1,1,1,1,1
200,53,24000,2,12,0,1,0,0,0,0,1
-5400,47,51960,3,10,0,1,1,0,0,0,1
5000,35,17472,3,12,0,1,0,0,0,0,0
700,48,20439,1,14,1,0,0,1,0,0,0
500,31,15840,5,13,0,1,0,0,0,0,0
7000,28,38466,2,16,0,1,0,0,0,0,1
831,27,6732,1,12,0,0,0,0,0,0,0
195000,61,55446,3,13,1,1,1,0,0,1,1
2223,50,10362,1,12,0,0,0,0,0,0,0
122499,61,60150,2,18,0,0,0,0,0,0,1
2700,58,41919,2,10,0,1,1,0,0,0,1
11937,47,23772,4,18,0,1,1,0,0,1,1
-6650,37,18000,1,12,0,0,0,0,0,0,0
110,52,39219,2,12,0,1,0,0,0,0,1
999,55,12300,4,3,0,1,0,0,0,0,0
950,27,38670,4,12,0,1,1,0,0,0,1
-450,64,17619,5,12,0,1,0,0,0,0,1
-300,55,22188,5,11,1,1,1,0,0,0,1
2750,45,44067,4,10,0,1,1,1,0,0,1
200,42,30600,4,11,0,1,0,0,0,0,1
-813,45,42534,3,12,0,1,1,1,0,1,1
1100,58,10863,4,12,0,1,0,1,0,0,1
1407,51,76263,6,12,1,1,1,1,0,0,1
1586,53,55944,2,12,0,1,1,1,0,0,1
850,59,18564,4,16,1,0,0,0,0,0,1
12550,44,27291,1,12,0,0,0,1,1,0,1
-2050,26,26430,2,14,0,1,1,0,0,0,0
2949,29,7500,1,12,0,0,0,0,0,0,0
10400,52,44271,6,15,0,1,1,0,0,1,1
1024,26,42738,3,15,0,1,1,0,0,0,1
20600,61,32490,3,10,1,0,0,1,1,0,0
31500,39,75888,4,16,0,1,1,1,1,0,1
-2965,48,40326,4,11,0,1,1,0,0,0,1
250,29,35100,1,12,0,0,0,0,0,0,0
0,38,19800,6,12,0,1,1,0,0,0,0
400,58,12090,2,12,0,0,0,0,0,0,0
2000,48,39321,1,13,0,0,0,1,0,0,0
1300,35,24000,1,16,0,0,0,0,0,0,1
20000,54,40902,2,12,0,0,0,0,0,1,1
